,DATA,RECUPERADOS/DIA,INTERNADOS/DIA,cases_7,cases_14,observation_7,observation_14
125,2020-07-26,274.0,274.0,152,102,1,1
126,2020-07-27,-721.0,-721.0,213,222,1,1
127,2020-07-28,573.0,573.0,234,494,1,2
128,2020-07-29,576.0,576.0,253,342,1,1
129,2020-07-30,383.0,383.0,519,333,2,1
130,2020-07-31,238.0,238.0,318,516,1,2
131,2020-08-01,179.0,179.0,145,129,1,1
132,2020-08-02,152.0,152.0,102,66,1,0
133,2020-08-03,213.0,213.0,222,260,1,1
134,2020-08-04,234.0,234.0,494,406,2,1
135,2020-08-05,253.0,253.0,342,307,1,1
136,2020-08-06,519.0,519.0,333,236,1,1
137,2020-08-07,318.0,318.0,516,414,2,1
138,2020-08-08,145.0,145.0,129,811,1,2
139,2020-08-09,102.0,102.0,66,-143,0,0
140,2020-08-10,222.0,222.0,260,-75,1,0
141,2020-08-11,494.0,494.0,406,381,1,1
142,2020-08-12,342.0,342.0,307,231,1,1
143,2020-08-13,333.0,333.0,236,283,1,1
144,2020-08-14,516.0,516.0,414,317,1,1
145,2020-08-15,129.0,129.0,811,327,2,1
146,2020-08-16,66.0,66.0,-143,-93,0,0
147,2020-08-17,260.0,260.0,-75,229,0,1
148,2020-08-18,406.0,406.0,381,253,1,1
149,2020-08-19,307.0,307.0,231,388,1,1
150,2020-08-20,236.0,236.0,283,359,1,1
151,2020-08-21,414.0,414.0,317,234,1,1
152,2020-08-22,811.0,811.0,327,190,1,1
153,2020-08-23,-143.0,-143.0,-93,150,0,1
154,2020-08-24,-75.0,-75.0,229,44,1,0
155,2020-08-25,381.0,381.0,253,150,1,1
156,2020-08-26,231.0,231.0,388,260,1,1
157,2020-08-27,283.0,283.0,359,288,1,1
158,2020-08-28,317.0,317.0,234,301,1,1
159,2020-08-29,327.0,327.0,190,183,1,1
160,2020-08-30,-93.0,-93.0,150,69,1,1
161,2020-08-31,229.0,229.0,44,204,0,1
162,2020-09-01,253.0,253.0,150,279,1,1
163,2020-09-02,388.0,388.0,260,355,1,1
164,2020-09-03,359.0,359.0,288,228,1,1
165,2020-09-04,234.0,234.0,301,272,1,1
166,2020-09-05,190.0,190.0,183,137,1,1
167,2020-09-06,150.0,150.0,69,68,1,1
168,2020-09-07,44.0,44.0,204,284,1,1
169,2020-09-08,150.0,150.0,279,278,1,1
