,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,-3.008093830358839,-2.055932510996917,-1.5289833290022747,-1.1662181684543822,-0.8823804207885638,-0.6378299679856791,-0.4104673823777437,-0.18645651074827885,0.04363174953157889,0.28667485797973463,0.5479868834841546,0.8318859456808496,1.1420397091738113,1.481686163161041,1.853780787309348,2.261098556290473,2.706307396313005,3.192023194858136,3.7208527299291414
2,0.0,-5.327133416474779,-3.491534396639049,-2.514123399351365,-1.8693468612579087,-1.3857077098490556,-0.9844279175058521,-0.6224319837537682,-0.27333413939948137,0.08049147935103429,0.4517154963465485,0.8500648251111046,1.2834670167970077,1.7587416499772943,2.2820412234754928,2.8591475959687296,3.495682782720121,4.197268427029021,4.969654999519515,5.8188343778094245
3,0.0,-7.394330898103507,-4.7164936024412,-3.3267423978322435,-2.4336724609166707,-1.7799703330203411,-1.2488049611905527,-0.7772612676185414,-0.3273786873016874,0.1258977502314269,0.6004599790848903,1.1100481580590116,1.6659521282287455,2.278037455327994,2.955404777966724,3.706843600405057,4.541170082926185,5.467501925947794,6.495504385546335,7.635631634931691
4,0.0,-9.300266479373928,-5.811674689866591,-4.036590398801239,-2.9174985188535976,-2.1122073518639404,-1.4669960751785363,-0.9001065252225755,-0.3627595094385966,0.17698897885259002,0.7418881122936084,1.3494714180102123,2.014296747549014,2.7493013317433923,3.5666861335059434,4.478545878174365,5.4973666146721545,6.636466023856166,7.910429197800313,9.335583729611388
5,0.0,-11.087622368353719,-6.8142410824423845,-4.674900789350108,-3.346340395151904,-2.402640566031176,-1.6543149578393666,-1.0016256529220853,-0.38558242929744435,0.2322417279883906,0.8792012768682076,1.5764950566129508,2.3419311870888087,3.1916121346245836,4.141058993948736,5.206048002687294,6.4033173546300475,7.751248925318702,9.270608596615531,10.985428930431144
6,0.0,-12.781389671381433,-7.745516940875053,-5.259234549481134,-3.7342986207039712,-2.6623002360376318,-1.819043687015671,-1.0875645426774043,-0.39916356988209944,0.29075118332934835,1.0139575818966027,1.7952478735358792,2.6557102897828813,3.614751574087553,4.6914846358259,5.905814413795616,7.279423693514602,8.836806391579985,10.606486462872388,12.622587274820846
7,0.0,-14.398000239693964,-8.619279870397085,-5.800746320733568,-4.090205506354872,-2.89802475422817,-1.9662826452705504,-1.1614519259640839,-0.40554806752085404,0.35192965816953303,1.147048560855589,2.008160727662724,2.9596982405565013,4.024546955394582,5.2257300343975,6.587800641748857,8.138201819980091,9.908807092580847,11.93787669588087,14.272754588723767
8,0.0,-15.94908225041626,-9.445128541413832,-6.307093530082296,-4.420053405813657,-3.1144145923277966,-2.0994444556516147,-1.2256432764014042,-0.4061048216580785,0.4153700658225836,1.2790390649496197,2.216808831342182,3.256545655394069,4.424820709125209,5.748931950374593,7.258678478108738,8.988221533735254,10.97834956819529,13.279552243969503,15.956536270175485
9,0.0,-17.44329602587281,-10.230110756021169,-6.7838256244364805,-4.728141282779439,-3.314746663360299,-2.220948907603948,-1.2818054167537585,-0.40180437155340787,0.4807766783874259,1.4103133377773007,2.422283745769774,3.5481012640963847,4.818258124061345,6.2647394577204,7.923274995347599,9.835869038713144,12.054090114383785,14.643818891571978,17.69266403472301
